"Start Time","End Time","Duration"
"December 15, 2019 at 09:19AM","December 15, 2019 at 09:29AM",638
"December 15, 2019 at 10:58AM","December 15, 2019 at 11:05AM",427
"December 15, 2019 at 02:18PM","December 15, 2019 at 02:20PM",152
"December 15, 2019 at 03:52PM","December 15, 2019 at 04:02PM",557
"December 15, 2019 at 05:28PM","December 15, 2019 at 05:39PM",644
"December 15, 2019 at 07:08PM","December 15, 2019 at 07:11PM",193
"December 16, 2019 at 06:56AM","December 16, 2019 at 07:02AM",367
"December 16, 2019 at 10:08AM","December 16, 2019 at 10:16AM",510
"December 16, 2019 at 03:04PM","December 16, 2019 at 03:12PM",486
"December 16, 2019 at 04:39PM","December 16, 2019 at 04:50PM",650
"December 16, 2019 at 06:17PM","December 16, 2019 at 06:25PM",444
"December 17, 2019 at 07:41AM","December 17, 2019 at 07:52AM",630
"December 17, 2019 at 09:19AM","December 17, 2019 at 09:28AM",572
"December 17, 2019 at 11:00AM","December 17, 2019 at 11:03AM",208
"December 17, 2019 at 02:16PM","December 17, 2019 at 02:22PM",396
"December 17, 2019 at 03:51PM","December 17, 2019 at 04:02PM",634
"December 17, 2019 at 05:28PM","December 17, 2019 at 05:38PM",557
"December 18, 2019 at 08:30AM","December 18, 2019 at 08:40AM",616
"December 18, 2019 at 10:10AM","December 18, 2019 at 10:15AM",341
"December 18, 2019 at 01:28PM","December 18, 2019 at 01:32PM",281
"December 18, 2019 at 03:03PM","December 18, 2019 at 03:13PM",599
"December 18, 2019 at 04:39PM","December 18, 2019 at 04:50PM",618
"December 19, 2019 at 06:06AM","December 19, 2019 at 06:14AM",499
"December 19, 2019 at 09:20AM","December 19, 2019 at 09:27AM",441
"December 19, 2019 at 12:40PM","December 19, 2019 at 12:42PM",103
"December 19, 2019 at 02:15PM","December 19, 2019 at 02:24PM",545
"December 19, 2019 at 03:51PM","December 19, 2019 at 04:02PM",645
"December 19, 2019 at 05:30PM","December 19, 2019 at 05:34PM",250
"December 20, 2019 at 05:19AM","December 20, 2019 at 05:24AM",335
"December 20, 2019 at 08:30AM","December 20, 2019 at 08:39AM",520
"December 20, 2019 at 01:26PM","December 20, 2019 at 01:34PM",472
"December 20, 2019 at 03:02PM","December 20, 2019 at 03:13PM",648
"December 20, 2019 at 04:40PM","December 20, 2019 at 04:48PM",464
"December 21, 2019 at 06:04AM","December 21, 2019 at 06:15AM",625
"December 21, 2019 at 07:41AM","December 21, 2019 at 07:51AM",580
"December 21, 2019 at 09:22AM","December 21, 2019 at 09:26AM",230
"December 21, 2019 at 12:38PM","December 21, 2019 at 12:45PM",380
"December 21, 2019 at 02:14PM","December 21, 2019 at 02:24PM",629
"December 21, 2019 at 03:51PM","December 21, 2019 at 04:00PM",567
"December 22, 2019 at 08:32AM","December 22, 2019 at 08:38AM",357
"December 22, 2019 at 11:51AM","December 22, 2019 at 11:55AM",259
"December 22, 2019 at 01:26PM","December 22, 2019 at 01:36PM",591
"December 22, 2019 at 03:02PM","December 22, 2019 at 03:13PM",622
"December 23, 2019 at 06:04AM","December 23, 2019 at 06:14AM",643
"December 23, 2019 at 07:43AM","December 23, 2019 at 07:50AM",454
"December 23, 2019 at 12:37PM","December 23, 2019 at 12:46PM",534
"December 23, 2019 at 02:14PM","December 23, 2019 at 02:24PM",646
"December 23, 2019 at 03:53PM","December 23, 2019 at 03:58PM",295
"December 24, 2019 at 05:15AM","December 24, 2019 at 05:26AM",644
"December 24, 2019 at 06:53AM","December 24, 2019 at 07:02AM",530
"December 24, 2019 at 11:49AM","December 24, 2019 at 11:57AM",459
"December 24, 2019 at 01:25PM","December 24, 2019 at 01:36PM",646
"December 24, 2019 at 03:03PM","December 24, 2019 at 03:11PM",482
"December 25, 2019 at 04:27AM","December 25, 2019 at 04:37AM",621
"December 25, 2019 at 06:04AM","December 25, 2019 at 06:14AM",587
"December 25, 2019 at 07:45AM","December 25, 2019 at 07:49AM",251
"December 25, 2019 at 11:01AM","December 25, 2019 at 11:07AM",363
"December 25, 2019 at 12:37PM","December 25, 2019 at 12:47PM",624
"December 25, 2019 at 02:14PM","December 25, 2019 at 02:23PM",576
"December 26, 2019 at 05:15AM","December 26, 2019 at 05:26AM",626
"December 26, 2019 at 06:55AM","December 26, 2019 at 07:01AM",373
"December 26, 2019 at 10:13AM","December 26, 2019 at 10:17AM",236
"December 26, 2019 at 11:49AM","December 26, 2019 at 11:58AM",583
"December 26, 2019 at 01:25PM","December 26, 2019 at 01:35PM",627
"December 27, 2019 at 04:26AM","December 27, 2019 at 04:37AM",645
"December 27, 2019 at 06:05AM","December 27, 2019 at 06:13AM",467
"December 27, 2019 at 11:00AM","December 27, 2019 at 11:09AM",524
"December 27, 2019 at 12:36PM","December 27, 2019 at 12:47PM",647
"December 27, 2019 at 02:15PM","December 27, 2019 at 02:21PM",331
"December 28, 2019 at 03:38AM","December 28, 2019 at 03:49AM",643
"December 28, 2019 at 05:16AM","December 28, 2019 at 05:25AM",540
"December 28, 2019 at 06:58AM","December 28, 2019 at 06:59AM",80
"December 28, 2019 at 10:12AM","December 28, 2019 at 10:20AM",445
"December 28, 2019 at 11:48AM","December 28, 2019 at 11:59AM",643
"December 28, 2019 at 01:26PM","December 28, 2019 at 01:34PM",498
"December 29, 2019 at 02:50AM","December 29, 2019 at 03:00AM",616
"December 29, 2019 at 04:27AM","December 29, 2019 at 04:37AM",594
"December 29, 2019 at 06:07AM","December 29, 2019 at 06:12AM",272
"December 29, 2019 at 09:24AM","December 29, 2019 at 09:30AM",346
"December 29, 2019 at 11:00AM","December 29, 2019 at 11:10AM",618
"December 29, 2019 at 12:36PM","December 29, 2019 at 12:46PM",585
"December 30, 2019 at 03:38AM","December 30, 2019 at 03:48AM",630
"December 30, 2019 at 05:17AM","December 30, 2019 at 05:24AM",389
"December 30, 2019 at 08:36AM","December 30, 2019 at 08:40AM",213
"December 30, 2019 at 10:11AM","December 30, 2019 at 10:21AM",575
"December 30, 2019 at 11:48AM","December 30, 2019 at 11:58AM",630
"December 31, 2019 at 01:15AM","December 31, 2019 at 01:22AM",445
"December 31, 2019 at 04:28AM","December 31, 2019 at 04:36AM",479
"December 31, 2019 at 09:23AM","December 31, 2019 at 09:32AM",513
"December 31, 2019 at 10:59AM","December 31, 2019 at 11:10AM",647
"January 01, 2020 at 03:41AM","January 01, 2020 at 03:50AM",546
"January 01, 2020 at 05:23AM","January 01, 2020 at 05:25AM",112
"January 01, 2020 at 08:38AM","January 01, 2020 at 08:45AM",445
"January 01, 2020 at 10:14AM","January 01, 2020 at 10:24AM",644
"January 01, 2020 at 11:51AM","January 01, 2020 at 11:59AM",505
"January 02, 2020 at 01:16AM","January 02, 2020 at 01:26AM",617
"January 02, 2020 at 04:33AM","January 02, 2020 at 04:38AM",282
"January 02, 2020 at 07:50AM","January 02, 2020 at 07:56AM",347
"January 02, 2020 at 09:26AM","January 02, 2020 at 09:36AM",620
"January 02, 2020 at 11:03AM","January 02, 2020 at 11:12AM",588
"January 03, 2020 at 12:28AM","January 03, 2020 at 12:38AM",558
"January 03, 2020 at 02:04AM","January 03, 2020 at 02:15AM",633
"January 03, 2020 at 03:44AM","January 03, 2020 at 03:51AM",393
"January 03, 2020 at 07:03AM","January 03, 2020 at 07:07AM",220
"January 03, 2020 at 08:38AM","January 03, 2020 at 08:48AM",577
"January 03, 2020 at 10:14AM","January 03, 2020 at 10:25AM",632
"January 04, 2020 at 01:16AM","January 04, 2020 at 01:27AM",649
"January 04, 2020 at 02:55AM","January 04, 2020 at 03:03AM",481
"January 04, 2020 at 07:50AM","January 04, 2020 at 07:59AM",517
"January 04, 2020 at 09:26AM","January 04, 2020 at 09:37AM",649
"January 04, 2020 at 11:05AM","January 04, 2020 at 11:11AM",361
"January 05, 2020 at 12:28AM","January 05, 2020 at 12:39AM",645
"January 05, 2020 at 02:06AM","January 05, 2020 at 02:15AM",550
"January 05, 2020 at 03:48AM","January 05, 2020 at 03:50AM",129
"January 05, 2020 at 07:03AM","January 05, 2020 at 07:10AM",439
"January 05, 2020 at 08:39AM","January 05, 2020 at 08:49AM",643
"January 05, 2020 at 10:16AM","January 05, 2020 at 10:25AM",511
"January 05, 2020 at 11:41PM","January 05, 2020 at 11:51PM",615
"January 06, 2020 at 01:18AM","January 06, 2020 at 01:28AM",602
"January 06, 2020 at 02:58AM","January 06, 2020 at 03:03AM",290
"January 06, 2020 at 06:15AM","January 06, 2020 at 06:21AM",341
"January 06, 2020 at 07:51AM","January 06, 2020 at 08:01AM",617
"January 06, 2020 at 09:28AM","January 06, 2020 at 09:38AM",591
"January 06, 2020 at 10:54PM","January 06, 2020 at 11:03PM",554
"January 07, 2020 at 12:29AM","January 07, 2020 at 12:40AM",635
"January 07, 2020 at 02:09AM","January 07, 2020 at 02:16AM",400
"January 07, 2020 at 05:28AM","January 07, 2020 at 05:32AM",210
"January 07, 2020 at 07:03AM","January 07, 2020 at 07:13AM",574
"January 07, 2020 at 08:40AM","January 07, 2020 at 08:50AM",634
"January 07, 2020 at 11:41PM","January 07, 2020 at 11:52PM",650
"January 08, 2020 at 01:20AM","January 08, 2020 at 01:28AM",487
"January 08, 2020 at 06:16AM","January 08, 2020 at 06:24AM",513
"January 08, 2020 at 07:52AM","January 08, 2020 at 08:02AM",649
"January 08, 2020 at 09:30AM","January 08, 2020 at 09:36AM",372
"January 08, 2020 at 09:21PM","January 08, 2020 at 09:24PM",198
"January 08, 2020 at 10:54PM","January 08, 2020 at 11:04PM",644
"January 09, 2020 at 12:31AM","January 09, 2020 at 12:41AM",555
"January 09, 2020 at 02:13AM","January 09, 2020 at 02:15AM",144
"January 09, 2020 at 05:28AM","January 09, 2020 at 05:35AM",434
"January 09, 2020 at 07:04AM","January 09, 2020 at 07:14AM",642
"January 09, 2020 at 08:41AM","January 09, 2020 at 08:50AM",516
"January 09, 2020 at 10:06PM","January 09, 2020 at 10:16PM",614
"January 09, 2020 at 11:43PM","January 09, 2020 at 11:53PM",605
"January 10, 2020 at 01:23AM","January 10, 2020 at 01:28AM",298
"January 10, 2020 at 04:41AM","January 10, 2020 at 04:46AM",334
"January 10, 2020 at 06:16AM","January 10, 2020 at 06:26AM",615
"January 10, 2020 at 07:53AM","January 10, 2020 at 08:03AM",594
"January 10, 2020 at 09:19PM","January 10, 2020 at 09:28PM",550
"January 10, 2020 at 10:55PM","January 10, 2020 at 11:05PM",638
"January 11, 2020 at 12:34AM","January 11, 2020 at 12:41AM",407
"January 11, 2020 at 03:53AM","January 11, 2020 at 03:57AM",201
"January 11, 2020 at 05:28AM","January 11, 2020 at 05:38AM",571
"January 11, 2020 at 07:05AM","January 11, 2020 at 07:15AM",635
"January 11, 2020 at 08:32PM","January 11, 2020 at 08:39PM",435
"January 11, 2020 at 10:06PM","January 11, 2020 at 10:17PM",651
"January 11, 2020 at 11:45PM","January 11, 2020 at 11:53PM",492
"January 12, 2020 at 04:41AM","January 12, 2020 at 04:49AM",509
"January 12, 2020 at 06:17AM","January 12, 2020 at 06:28AM",649
"January 12, 2020 at 07:55AM","January 12, 2020 at 08:02AM",383
"January 12, 2020 at 09:19PM","January 12, 2020 at 09:29PM",644
"January 12, 2020 at 10:56PM","January 12, 2020 at 11:06PM",559
"January 13, 2020 at 12:38AM","January 13, 2020 at 12:40AM",158
"January 13, 2020 at 03:53AM","January 13, 2020 at 04:00AM",429
"January 13, 2020 at 05:29AM","January 13, 2020 at 05:40AM",640
"January 13, 2020 at 07:06AM","January 13, 2020 at 07:15AM",522
"January 13, 2020 at 08:31PM","January 13, 2020 at 08:41PM",612
"January 13, 2020 at 10:08PM","January 13, 2020 at 10:18PM",608
"January 13, 2020 at 11:48PM","January 13, 2020 at 11:53PM",307
"January 14, 2020 at 03:06AM","January 14, 2020 at 03:11AM",328
"January 14, 2020 at 04:41AM","January 14, 2020 at 04:51AM",613
"January 14, 2020 at 06:18AM","January 14, 2020 at 06:28AM",597
"January 14, 2020 at 09:20PM","January 14, 2020 at 09:30PM",640
"January 14, 2020 at 10:59PM","January 14, 2020 at 11:06PM",413
"January 15, 2020 at 02:18AM","January 15, 2020 at 02:22AM",193
"January 15, 2020 at 03:53AM","January 15, 2020 at 04:03AM",568
"January 15, 2020 at 05:30AM","January 15, 2020 at 05:40AM",636
"January 15, 2020 at 08:32PM","January 15, 2020 at 08:42PM",652
"January 15, 2020 at 10:10PM","January 15, 2020 at 10:18PM",497
"January 16, 2020 at 03:06AM","January 16, 2020 at 03:14AM",505
"January 16, 2020 at 04:42AM","January 16, 2020 at 04:53AM",649
"January 16, 2020 at 06:20AM","January 16, 2020 at 06:26AM",399
"January 16, 2020 at 06:12PM","January 16, 2020 at 06:13PM",116
"January 16, 2020 at 09:21PM","January 16, 2020 at 09:30PM",564
"January 16, 2020 at 11:02PM","January 16, 2020 at 11:05PM",175
"January 17, 2020 at 02:18AM","January 17, 2020 at 02:25AM",421
"January 17, 2020 at 03:53AM","January 17, 2020 at 04:04AM",639
"January 17, 2020 at 05:31AM","January 17, 2020 at 05:40AM",530
"January 17, 2020 at 06:56PM","January 17, 2020 at 07:06PM",607
"January 17, 2020 at 08:32PM","January 17, 2020 at 08:42PM",612
"January 17, 2020 at 10:13PM","January 17, 2020 at 10:18PM",318
"January 18, 2020 at 01:30AM","January 18, 2020 at 01:35AM",318
"January 18, 2020 at 03:06AM","January 18, 2020 at 03:16AM",610
"January 18, 2020 at 04:42AM","January 18, 2020 at 04:52AM",602
"January 18, 2020 at 06:08PM","January 18, 2020 at 06:17PM",538
"January 18, 2020 at 07:44PM","January 18, 2020 at 07:55PM",642
"January 18, 2020 at 09:23PM","January 18, 2020 at 09:30PM",422
"January 19, 2020 at 12:43AM","January 19, 2020 at 12:46AM",177
"January 19, 2020 at 02:18AM","January 19, 2020 at 02:27AM",563
"January 19, 2020 at 03:54AM","January 19, 2020 at 04:05AM",638
"January 19, 2020 at 06:56PM","January 19, 2020 at 07:07PM",652
"January 19, 2020 at 08:34PM","January 19, 2020 at 08:43PM",505
"January 20, 2020 at 01:30AM","January 20, 2020 at 01:38AM",498
"January 20, 2020 at 03:06AM","January 20, 2020 at 03:17AM",649
"January 20, 2020 at 04:44AM","January 20, 2020 at 04:51AM",411
"January 20, 2020 at 06:08PM","January 20, 2020 at 06:19PM",642
"January 20, 2020 at 07:46PM","January 20, 2020 at 07:55PM",569
"January 20, 2020 at 09:27PM","January 20, 2020 at 09:30PM",190
"January 21, 2020 at 12:43AM","January 21, 2020 at 12:49AM",415
"January 21, 2020 at 02:18AM","January 21, 2020 at 02:29AM",637
"January 21, 2020 at 03:55AM","January 21, 2020 at 04:04AM",537
"January 21, 2020 at 05:21PM","January 21, 2020 at 05:31PM",605
"January 21, 2020 at 06:57PM","January 21, 2020 at 07:07PM",615
"January 21, 2020 at 08:37PM","January 21, 2020 at 08:43PM",327
"January 21, 2020 at 11:55PM","January 22, 2020 at 12:00AM",310
"January 22, 2020 at 01:30AM","January 22, 2020 at 01:41AM",607
"January 22, 2020 at 03:07AM","January 22, 2020 at 03:17AM",605
"January 22, 2020 at 06:09PM","January 22, 2020 at 06:20PM",644
"January 22, 2020 at 07:48PM","January 22, 2020 at 07:55PM",429
"January 22, 2020 at 11:08PM","January 22, 2020 at 11:11PM",166
"January 23, 2020 at 12:43AM","January 23, 2020 at 12:52AM",559
"January 23, 2020 at 02:19AM","January 23, 2020 at 02:30AM",640
"January 23, 2020 at 03:59AM","January 23, 2020 at 04:01AM",128
"January 23, 2020 at 03:47PM","January 23, 2020 at 03:53PM",399
"January 23, 2020 at 05:21PM","January 23, 2020 at 05:32PM",653
"January 23, 2020 at 06:59PM","January 23, 2020 at 07:08PM",510
"January 23, 2020 at 11:55PM","January 24, 2020 at 12:03AM",494
"January 24, 2020 at 01:31AM","January 24, 2020 at 01:42AM",649
"January 24, 2020 at 03:09AM","January 24, 2020 at 03:16AM",422
"January 24, 2020 at 04:33PM","January 24, 2020 at 04:44PM",641
"January 24, 2020 at 06:10PM","January 24, 2020 at 06:20PM",573
"January 24, 2020 at 07:52PM","January 24, 2020 at 07:55PM",203
"January 24, 2020 at 11:07PM","January 24, 2020 at 11:14PM",409
"January 25, 2020 at 12:43AM","January 25, 2020 at 12:54AM",636
"January 25, 2020 at 02:20AM","January 25, 2020 at 02:29AM",543
"January 25, 2020 at 03:45PM","January 25, 2020 at 03:55PM",601
"January 25, 2020 at 05:22PM","January 25, 2020 at 05:32PM",619
"January 25, 2020 at 07:02PM","January 25, 2020 at 07:08PM",336
"January 25, 2020 at 10:20PM","January 25, 2020 at 10:25PM",303
"January 25, 2020 at 11:55PM","January 26, 2020 at 12:05AM",605
"January 26, 2020 at 01:32AM","January 26, 2020 at 01:42AM",609
"January 26, 2020 at 02:58PM","January 26, 2020 at 03:07PM",526
"January 26, 2020 at 04:34PM","January 26, 2020 at 04:44PM",646
"January 26, 2020 at 06:13PM","January 26, 2020 at 06:20PM",437
"January 26, 2020 at 09:33PM","January 26, 2020 at 09:35PM",155
"January 26, 2020 at 11:07PM","January 26, 2020 at 11:17PM",556
"January 27, 2020 at 12:44AM","January 27, 2020 at 12:54AM",641
"January 27, 2020 at 02:24AM","January 27, 2020 at 02:27AM",172
"January 27, 2020 at 03:46PM","January 27, 2020 at 03:56PM",653
"January 27, 2020 at 05:24PM","January 27, 2020 at 05:32PM",516
"January 27, 2020 at 10:20PM","January 27, 2020 at 10:28PM",489
"January 27, 2020 at 11:56PM","January 28, 2020 at 12:07AM",649
"January 28, 2020 at 01:34AM","January 28, 2020 at 01:41AM",434
"January 28, 2020 at 02:58PM","January 28, 2020 at 03:08PM",639
"January 28, 2020 at 04:35PM","January 28, 2020 at 04:45PM",578
"January 28, 2020 at 06:16PM","January 28, 2020 at 06:20PM",217
"January 28, 2020 at 09:32PM","January 28, 2020 at 09:39PM",404
"January 28, 2020 at 11:08PM","January 28, 2020 at 11:18PM",635
"January 29, 2020 at 12:45AM","January 29, 2020 at 12:54AM",549
"January 29, 2020 at 02:10PM","January 29, 2020 at 02:20PM",598
"January 29, 2020 at 03:47PM","January 29, 2020 at 03:57PM",622
"January 29, 2020 at 05:27PM","January 29, 2020 at 05:32PM",345
"January 29, 2020 at 08:45PM","January 29, 2020 at 08:50PM",296
"January 29, 2020 at 10:20PM","January 29, 2020 at 10:30PM",603
"January 29, 2020 at 11:57PM","January 30, 2020 at 12:07AM",613
"January 30, 2020 at 01:23PM","January 30, 2020 at 01:32PM",519
"January 30, 2020 at 04:37PM","January 30, 2020 at 04:45PM",444
"January 30, 2020 at 07:58PM","January 30, 2020 at 08:00PM",143
"January 30, 2020 at 09:32PM","January 30, 2020 at 09:41PM",552
"January 30, 2020 at 11:08PM","January 30, 2020 at 11:19PM",643
"January 31, 2020 at 12:48AM","January 31, 2020 at 12:52AM",207
"January 31, 2020 at 12:36PM","January 31, 2020 at 12:43PM",372
"January 31, 2020 at 03:49PM","January 31, 2020 at 03:57PM",522
"January 31, 2020 at 10:24PM","January 31, 2020 at 10:35PM",652
"February 01, 2020 at 12:02AM","February 01, 2020 at 12:09AM",426
"February 01, 2020 at 03:04PM","February 01, 2020 at 03:14PM",576
"February 01, 2020 at 04:45PM","February 01, 2020 at 04:49PM",211
"February 01, 2020 at 08:01PM","February 01, 2020 at 08:08PM",416
"February 01, 2020 at 09:37PM","February 01, 2020 at 09:47PM",640
"February 01, 2020 at 11:14PM","February 01, 2020 at 11:23PM",544
"February 02, 2020 at 02:16PM","February 02, 2020 at 02:26PM",620
"February 02, 2020 at 03:56PM","February 02, 2020 at 04:02PM",339
"February 02, 2020 at 07:14PM","February 02, 2020 at 07:19PM",314
"February 02, 2020 at 08:49PM","February 02, 2020 at 09:00PM",610
"February 02, 2020 at 10:26PM","February 02, 2020 at 10:36PM",610
"February 03, 2020 at 11:53AM","February 03, 2020 at 12:01PM",532
"February 03, 2020 at 03:07PM","February 03, 2020 at 03:15PM",437
"February 03, 2020 at 06:27PM","February 03, 2020 at 06:30PM",177
"February 03, 2020 at 08:02PM","February 03, 2020 at 08:11PM",563
"February 03, 2020 at 09:38PM","February 03, 2020 at 09:49PM",644
"February 03, 2020 at 11:19PM","February 03, 2020 at 11:21PM",150
"February 04, 2020 at 11:06AM","February 04, 2020 at 11:13AM",401
"February 04, 2020 at 02:19PM","February 04, 2020 at 02:27PM",515
"February 04, 2020 at 07:15PM","February 04, 2020 at 07:23PM",499
"February 04, 2020 at 08:51PM","February 04, 2020 at 09:02PM",652
"February 04, 2020 at 10:29PM","February 04, 2020 at 10:36PM",427
"February 05, 2020 at 11:53AM","February 05, 2020 at 12:04PM",643
"February 05, 2020 at 03:12PM","February 05, 2020 at 03:15PM",213
"February 05, 2020 at 06:28PM","February 05, 2020 at 06:35PM",417
"February 05, 2020 at 08:03PM","February 05, 2020 at 08:14PM",641
"February 05, 2020 at 09:41PM","February 05, 2020 at 09:50PM",545
"February 06, 2020 at 11:06AM","February 06, 2020 at 11:16AM",605
"February 06, 2020 at 02:23PM","February 06, 2020 at 02:28PM",340
"February 06, 2020 at 05:40PM","February 06, 2020 at 05:46PM",315
"February 06, 2020 at 07:16PM","February 06, 2020 at 07:26PM",611
"February 06, 2020 at 08:53PM","February 06, 2020 at 09:03PM",611
"February 07, 2020 at 10:19AM","February 07, 2020 at 10:28AM",532
"February 07, 2020 at 01:34PM","February 07, 2020 at 01:41PM",437
"February 07, 2020 at 04:54PM","February 07, 2020 at 04:57PM",179
"February 07, 2020 at 06:29PM","February 07, 2020 at 06:38PM",563
"February 07, 2020 at 08:05PM","February 07, 2020 at 08:16PM",645
"February 07, 2020 at 09:45PM","February 07, 2020 at 09:48PM",155
"February 08, 2020 at 09:33AM","February 08, 2020 at 09:39AM",399
"February 08, 2020 at 11:07AM","February 08, 2020 at 11:18AM",656
"February 08, 2020 at 05:41PM","February 08, 2020 at 05:50PM",499
"February 08, 2020 at 07:17PM","February 08, 2020 at 07:28PM",653
"February 08, 2020 at 08:55PM","February 08, 2020 at 09:03PM",429
"February 09, 2020 at 10:19AM","February 09, 2020 at 10:30AM",643
"February 09, 2020 at 01:38PM","February 09, 2020 at 01:42PM",214
"February 09, 2020 at 04:54PM","February 09, 2020 at 05:01PM",418
"February 09, 2020 at 06:30PM","February 09, 2020 at 06:40PM",641
"February 09, 2020 at 08:07PM","February 09, 2020 at 08:16PM",547
"February 10, 2020 at 09:32AM","February 10, 2020 at 09:42AM",604
"February 10, 2020 at 11:09AM","February 10, 2020 at 11:19AM",620
"February 10, 2020 at 12:49PM","February 10, 2020 at 12:55PM",340
"February 10, 2020 at 04:07PM","February 10, 2020 at 04:12PM",316
"February 10, 2020 at 05:42PM","February 10, 2020 at 05:52PM",611
"February 10, 2020 at 07:19PM","February 10, 2020 at 07:29PM",612
"February 11, 2020 at 10:21AM","February 11, 2020 at 10:32AM",647
"February 11, 2020 at 12:00PM","February 11, 2020 at 12:08PM",438
"February 11, 2020 at 03:20PM","February 11, 2020 at 03:23PM",180
"February 11, 2020 at 04:55PM","February 11, 2020 at 05:04PM",564
"February 11, 2020 at 06:31PM","February 11, 2020 at 06:42PM",645
"February 11, 2020 at 08:11PM","February 11, 2020 at 08:14PM",161
"February 12, 2020 at 07:59AM","February 12, 2020 at 08:06AM",397
"February 12, 2020 at 11:12AM","February 12, 2020 at 11:20AM",516
"February 12, 2020 at 04:08PM","February 12, 2020 at 04:16PM",500
"February 12, 2020 at 05:44PM","February 12, 2020 at 05:55PM",654
"February 12, 2020 at 07:22PM","February 12, 2020 at 07:29PM",431
"February 13, 2020 at 08:46AM","February 13, 2020 at 08:57AM",642
"February 13, 2020 at 10:23AM","February 13, 2020 at 10:33AM",576
"February 13, 2020 at 12:04PM","February 13, 2020 at 12:08PM",215
"February 13, 2020 at 03:20PM","February 13, 2020 at 03:27PM",418
"February 13, 2020 at 04:56PM","February 13, 2020 at 05:07PM",642
"February 13, 2020 at 06:33PM","February 13, 2020 at 06:43PM",548
"February 14, 2020 at 09:35AM","February 14, 2020 at 09:46AM",620
"February 14, 2020 at 11:15AM","February 14, 2020 at 11:21AM",341
"February 14, 2020 at 02:33PM","February 14, 2020 at 02:39PM",316
"February 14, 2020 at 04:09PM","February 14, 2020 at 04:19PM",612
"February 14, 2020 at 05:45PM","February 14, 2020 at 05:56PM",613
"February 15, 2020 at 07:12AM","February 15, 2020 at 07:21AM",529
"February 15, 2020 at 08:47AM","February 15, 2020 at 08:58AM",647
"February 15, 2020 at 10:27AM","February 15, 2020 at 10:34AM",438
"February 15, 2020 at 01:46PM","February 15, 2020 at 01:49PM",180
"February 15, 2020 at 03:21PM","February 15, 2020 at 03:31PM",564
"February 15, 2020 at 04:58PM","February 15, 2020 at 05:08PM",646
"February 15, 2020 at 06:38PM","February 15, 2020 at 06:41PM",168
"February 16, 2020 at 06:26AM","February 16, 2020 at 06:32AM",395
"February 16, 2020 at 08:00AM","February 16, 2020 at 08:11AM",655
"February 16, 2020 at 09:38AM","February 16, 2020 at 09:47AM",516
"February 16, 2020 at 04:10PM","February 16, 2020 at 04:21PM",655
"February 16, 2020 at 05:48PM","February 16, 2020 at 05:55PM",433
"February 17, 2020 at 07:12AM","February 17, 2020 at 07:23AM",641
"February 17, 2020 at 10:31AM","February 17, 2020 at 10:34AM",215
"February 17, 2020 at 01:47PM","February 17, 2020 at 01:54PM",418
"February 17, 2020 at 03:23PM","February 17, 2020 at 03:33PM",642
"February 17, 2020 at 05:00PM","February 17, 2020 at 05:09PM",550
"February 18, 2020 at 06:25AM","February 18, 2020 at 06:35AM",601
"February 18, 2020 at 08:02AM","February 18, 2020 at 08:12AM",619
"February 18, 2020 at 09:42AM","February 18, 2020 at 09:47AM",340
"February 18, 2020 at 01:00PM","February 18, 2020 at 01:05PM",315
"February 18, 2020 at 02:35PM","February 18, 2020 at 02:45PM",612
"February 18, 2020 at 04:12PM","February 18, 2020 at 04:22PM",615
"February 19, 2020 at 07:14AM","February 19, 2020 at 07:25AM",646
"February 19, 2020 at 08:53AM","February 19, 2020 at 09:00AM",437
"February 19, 2020 at 12:13PM","February 19, 2020 at 12:16PM",177
"February 19, 2020 at 01:48PM","February 19, 2020 at 01:57PM",564
"February 19, 2020 at 03:24PM","February 19, 2020 at 03:35PM",647
"February 19, 2020 at 05:04PM","February 19, 2020 at 05:07PM",176
"February 20, 2020 at 06:26AM","February 20, 2020 at 06:37AM",653
"February 20, 2020 at 08:05AM","February 20, 2020 at 08:13AM",515
"February 20, 2020 at 01:00PM","February 20, 2020 at 01:09PM",499
"February 20, 2020 at 02:36PM","February 20, 2020 at 02:47PM",655
"February 20, 2020 at 04:15PM","February 20, 2020 at 04:22PM",435
"February 21, 2020 at 07:16AM","February 21, 2020 at 07:26AM",576
"February 21, 2020 at 08:57AM","February 21, 2020 at 09:01AM",215
"February 21, 2020 at 12:13PM","February 21, 2020 at 12:20PM",417
"February 21, 2020 at 01:49PM","February 21, 2020 at 02:00PM",642
"February 21, 2020 at 03:26PM","February 21, 2020 at 03:35PM",551
"February 22, 2020 at 06:28AM","February 22, 2020 at 06:38AM",619
"February 22, 2020 at 08:08AM","February 22, 2020 at 08:14AM",340
"February 22, 2020 at 11:26AM","February 22, 2020 at 11:31AM",314
"February 22, 2020 at 01:01PM","February 22, 2020 at 01:12PM",612
"February 22, 2020 at 02:38PM","February 22, 2020 at 02:48PM",615
"February 23, 2020 at 04:05AM","February 23, 2020 at 04:13AM",525
"February 23, 2020 at 07:19AM","February 23, 2020 at 07:27AM",437
"February 23, 2020 at 10:39AM","February 23, 2020 at 10:42AM",175
"February 23, 2020 at 12:14PM","February 23, 2020 at 12:24PM",564
"February 23, 2020 at 01:50PM","February 23, 2020 at 02:01PM",647
"February 23, 2020 at 03:30PM","February 23, 2020 at 03:33PM",182
